94,Tx_BC_mud.tga,Tx_BC_mud.tga,0009DA1D
95,Tx_BC_rock_01.tga,Tx_BC_rock_01.tga,000FF6FA
96,Tx_BC_rock_02.tga,Tx_BC_rock_02.tga,000FF6FA
97,Tx_BC_scrub.tga,Tx_BC_scrub.tga,0009C71D
98,Tx_BC_undergrowth.tga,Tx_BC_undergrowth.tga,000E73F2
99,Tx_BC_muck_01.tga,Tx_BC_muck_01.tga,0009DA1E
100,Tx_BC_rockyscrub.tga,Tx_BC_rockyscrub.tga,0009C6F4
101,MA_lavaridge,Tx_MA_lavaridge.tga,00015711
102,Daedric Stone,Tx_Daed_road_02.tga,00027A26
103,Tx_BC_rock_03.tga,Tx_BC_rock_03.tga,000C4B9E
104,Tx_BC_rock_04.tga,Tx_BC_rock_04.tga,00037846
105,WG_mainroad_01,Tx_WG_mainroad_01.tga,0006B622
106,Tx_AI_mainroad_01.tga,Tx_AI_mainroad_01.tga,0000087C
107,Tx_BC_mainroad_01.tga,Tx_BC_mainroad_01.tga,0009D848
